R,G,B
1.0,0.908,0.852
0.996,0.9,0.844
0.988,0.892,0.836
0.976,0.876,0.816
0.98,0.88,0.816
0.968,0.86,0.796
0.96,0.852,0.784
0.944,0.832,0.76
0.944,0.828,0.756
0.936,0.816,0.744
0.924,0.8,0.724
0.92,0.796,0.716
0.908,0.78,0.696
0.912,0.784,0.7
0.896,0.76,0.68
0.892,0.756,0.672
0.884,0.744,0.66
0.876,0.732,0.644
0.868,0.724,0.636
0.864,0.716,0.628
0.852,0.7,0.612
0.844,0.688,0.6
0.836,0.676,0.588
0.828,0.672,0.58
0.812,0.648,0.56
0.808,0.64,0.556
0.8,0.632,0.544
0.792,0.62,0.536
0.784,0.612,0.528
0.78,0.608,0.524
0.78,0.604,0.524
0.768,0.592,0.512
0.764,0.584,0.504
0.756,0.572,0.496
0.752,0.568,0.492
0.74,0.552,0.48
0.744,0.56,0.484
0.724,0.536,0.464
0.712,0.516,0.448
0.716,0.524,0.456
0.716,0.52,0.452
0.708,0.508,0.444
0.7,0.5,0.436
0.692,0.492,0.428
0.684,0.48,0.42
0.68,0.472,0.416
0.68,0.476,0.42
0.672,0.464,0.408
0.664,0.452,0.4
0.66,0.448,0.396
0.652,0.44,0.388
0.648,0.432,0.384
0.648,0.412,0.372
0.644,0.428,0.38
0.636,0.42,0.376
0.632,0.412,0.368
0.616,0.396,0.356
0.628,0.408,0.364
0.624,0.4,0.36
0.612,0.384,0.348
0.612,0.388,0.352
0.604,0.38,0.344
0.6,0.372,0.34
0.588,0.356,0.328
0.576,0.344,0.316
0.568,0.332,0.312
0.572,0.336,0.312
0.564,0.328,0.304
0.56,0.32,0.3
0.56,0.324,0.304
0.556,0.32,0.3
0.548,0.312,0.292
0.54,0.3,0.284
0.532,0.28,0.272
0.532,0.292,0.28
0.524,0.284,0.272
0.532,0.292,0.28
0.528,0.284,0.272
0.532,0.288,0.276
0.52,0.28,0.268
0.516,0.276,0.264
0.508,0.264,0.256
0.5,0.256,0.252
0.504,0.26,0.256
0.496,0.252,0.248
0.484,0.24,0.24
0.476,0.232,0.232
0.48,0.236,0.236
0.472,0.228,0.228
0.46,0.22,0.224
0.448,0.208,0.216
0.44,0.204,0.208
0.432,0.196,0.204
0.42,0.188,0.2
0.408,0.18,0.192
0.404,0.176,0.192
0.396,0.176,0.188
0.388,0.168,0.184
0.384,0.168,0.18
0.376,0.16,0.18
0.368,0.156,0.176
0.36,0.152,0.172
0.352,0.148,0.168
0.348,0.152,0.172
0.344,0.144,0.164
0.332,0.14,0.16
0.316,0.132,0.156
0.312,0.128,0.152
0.292,0.12,0.148
0.292,0.116,0.144
